sale_id,sale_date,customer_id,product,quantity,amount
202403_001,2024-03-17,CUST_017,Mouse,1,2403.91
202403_002,2024-03-03,CUST_006,Laptop,5,216.5
202403_003,2024-03-28,CUST_008,Monitor,1,2356.91
202403_004,2024-03-19,CUST_008,Headset,5,147.37
202403_005,2024-03-03,CUST_014,Dock,5,1434.81
202403_006,2024-03-11,CUST_009,Mouse,3,634.78
202403_007,2024-03-13,CUST_005,Dock,3,1170.2
202403_008,2024-03-25,CUST_003,Laptop,4,1571.84
202403_009,2024-03-19,CUST_004,Laptop,5,572.23
202403_010,2024-03-09,CUST_005,Keyboard,1,2204.21
202403_011,2024-03-12,CUST_010,Mouse,4,2092.68
202403_012,2024-03-23,CUST_010,Headset,5,69.17
202403_013,2024-03-27,CUST_018,Keyboard,1,2350.38
202403_014,2024-03-05,CUST_009,Laptop,1,1868.92
202403_015,2024-03-05,CUST_009,Keyboard,5,566.04
202403_016,2024-03-11,CUST_007,Dock,3,1288.25
202403_017,2024-03-09,CUST_002,Laptop,4,2081.9
202403_018,2024-03-02,CUST_001,Keyboard,2,1610.93
202403_019,2024-03-09,CUST_006,Dock,4,1401.62
202403_020,2024-03-14,CUST_018,Laptop,1,234.35
202403_021,2024-03-23,CUST_005,Headset,1,2094.76
202403_022,2024-03-19,CUST_018,Mouse,4,362.24
202403_023,2024-03-10,CUST_012,Laptop,3,564.69
202403_024,2024-03-08,CUST_004,Keyboard,5,2216.13
202403_025,2024-03-14,CUST_020,Dock,2,2318.12
202403_026,2024-03-08,CUST_006,Mouse,4,110.73
202403_027,2024-03-24,CUST_011,Monitor,2,703.67
202403_028,2024-03-26,CUST_004,Monitor,1,2153.55
202403_029,2024-03-08,CUST_007,Monitor,3,797.72
202403_030,2024-03-26,CUST_008,Mouse,1,1667.08
