sale_id,sale_date,customer_id,product,quantity,amount
202401_001,2024-01-21,CUST_004,Laptop,3,649.99
202401_002,2024-01-05,CUST_004,Dock,5,263.0
202401_003,2024-01-14,CUST_002,Laptop,1,585.66
202401_004,2024-01-17,CUST_020,Laptop,5,537.15
202401_005,2024-01-21,CUST_018,Monitor,2,1150.56
202401_006,2024-01-09,CUST_001,Mouse,4,883.61
202401_007,2024-01-05,CUST_007,Keyboard,1,277.23
202401_008,2024-01-04,CUST_012,Keyboard,5,698.08
202401_009,2024-01-02,CUST_015,Headset,1,2434.13
202401_010,2024-01-13,CUST_003,Headset,3,2082.04
202401_011,2024-01-20,CUST_012,Headset,2,1776.2
202401_012,2024-01-02,CUST_008,Keyboard,1,2145.53
202401_013,2024-01-28,CUST_004,Monitor,3,1160.86
202401_014,2024-01-27,CUST_012,Mouse,3,920.41
202401_015,2024-01-22,CUST_009,Dock,1,1542.37
202401_016,2024-01-06,CUST_018,Dock,2,450.34
202401_017,2024-01-13,CUST_009,Dock,5,588.06
202401_018,2024-01-11,CUST_002,Mouse,1,2022.36
202401_019,2024-01-13,CUST_009,Laptop,2,2287.18
202401_020,2024-01-19,CUST_011,Mouse,4,1019.3
202401_021,2024-01-21,CUST_015,Mouse,3,392.09
202401_022,2024-01-24,CUST_018,Headset,3,1880.18
202401_023,2024-01-14,CUST_019,Monitor,3,587.34
202401_024,2024-01-05,CUST_017,Monitor,1,1901.67
202401_025,2024-01-28,CUST_004,Mouse,2,1990.59
202401_026,2024-01-14,CUST_020,Laptop,4,984.97
202401_027,2024-01-15,CUST_017,Keyboard,5,2158.91
202401_028,2024-01-01,CUST_004,Dock,5,1889.65
202401_029,2024-01-25,CUST_011,Laptop,3,1115.17
202401_030,2024-01-15,CUST_001,Dock,3,2431.13
