sale_id,sale_date,customer_id,product,quantity,amount
202402_001,2024-02-25,CUST_006,Headset,1,2182.77
202402_002,2024-02-10,CUST_017,Headset,2,424.46
202402_003,2024-02-25,CUST_006,Headset,5,2300.31
202402_004,2024-02-20,CUST_011,Monitor,1,324.08
202402_005,2024-02-12,CUST_010,Mouse,1,640.14
202402_006,2024-02-19,CUST_003,Laptop,4,2049.26
202402_007,2024-02-25,CUST_018,Mouse,2,1666.39
202402_008,2024-02-18,CUST_006,Keyboard,5,2187.46
202402_009,2024-02-14,CUST_007,Headset,2,1796.72
202402_010,2024-02-13,CUST_012,Monitor,5,1156.14
202402_011,2024-02-08,CUST_008,Laptop,3,101.53
202402_012,2024-02-18,CUST_008,Headset,2,67.62
202402_013,2024-02-23,CUST_002,Mouse,1,2268.28
202402_014,2024-02-28,CUST_011,Laptop,5,633.11
202402_015,2024-02-22,CUST_016,Mouse,5,374.16
202402_016,2024-02-19,CUST_019,Monitor,2,1972.32
202402_017,2024-02-26,CUST_014,Mouse,1,287.48
202402_018,2024-02-14,CUST_012,Monitor,4,1194.21
202402_019,2024-02-24,CUST_002,Dock,1,198.5
202402_020,2024-02-24,CUST_011,Laptop,2,519.4
202402_021,2024-02-18,CUST_015,Mouse,4,499.55
202402_022,2024-02-15,CUST_008,Laptop,4,2029.65
202402_023,2024-02-28,CUST_018,Laptop,1,1647.75
202402_024,2024-02-18,CUST_001,Laptop,2,457.46
202402_025,2024-02-16,CUST_016,Mouse,4,2260.99
202402_026,2024-02-06,CUST_013,Laptop,4,699.75
202402_027,2024-02-26,CUST_015,Keyboard,4,1756.65
202402_028,2024-02-24,CUST_018,Dock,4,429.25
202402_029,2024-02-10,CUST_007,Laptop,5,1852.56
202402_030,2024-02-02,CUST_011,Laptop,1,1481.24
